"numero","filename","class","origin","source_file","row_idx"
"2054","2054.txt","phishing","mistral-small:24b","n/d","0"
"2055","2055.txt","non-phishing","mistral-small:24b","n/d","0"
"2056","2056.txt","non-phishing","mistral-small:24b","n/d","0"
"2057","2057.txt","phishing","mistral-small:24b","n/d","0"
"2058","2058.txt","non-phishing","mistral-small:24b","n/d","0"
"2059","2059.txt","non-phishing","mistral-small:24b","n/d","0"
"2060","2060.txt","phishing","mistral-small:24b","n/d","0"
"2061","2061.txt","non-phishing","mistral-small:24b","n/d","0"
"2062","2062.txt","non-phishing","mistral-small:24b","n/d","0"
"2063","2063.txt","non-phishing","mistral-small:24b","n/d","0"
"2064","2064.txt","non-phishing","mistral-small:24b","n/d","0"
"2065","2065.txt","phishing","mistral-small:24b","n/d","0"
"2066","2066.txt","phishing","mistral-small:24b","n/d","0"
"2067","2067.txt","non-phishing","mistral-small:24b","n/d","0"
"2068","2068.txt","non-phishing","mistral-small:24b","n/d","0"
"2069","2069.txt","non-phishing","mistral-small:24b","n/d","0"
"2070","2070.txt","non-phishing","mistral-small:24b","n/d","0"
"2071","2071.txt","non-phishing","mistral-small:24b","n/d","0"
"2072","2072.txt","phishing","mistral-small:24b","n/d","0"
"2073","2073.txt","phishing","mistral-small:24b","n/d","0"
"2074","2074.txt","phishing","mistral-small:24b","n/d","0"
"2075","2075.txt","non-phishing","mistral-small:24b","n/d","0"
"2076","2076.txt","non-phishing","mistral-small:24b","n/d","0"
"2077","2077.txt","phishing","mistral-small:24b","n/d","0"
"2078","2078.txt","phishing","mistral-small:24b","n/d","0"
"2079","2079.txt","phishing","mistral-small:24b","n/d","0"
"2080","2080.txt","phishing","mistral-small:24b","n/d","0"
"2081","2081.txt","phishing","mistral-small:24b","n/d","0"
"2082","2082.txt","phishing","mistral-small:24b","n/d","0"
"2083","2083.txt","phishing","mistral-small:24b","n/d","0"
"2084","2084.txt","non-phishing","mistral-small:24b","n/d","0"
"2085","2085.txt","non-phishing","mistral-small:24b","n/d","0"
"2086","2086.txt","non-phishing","mistral-small:24b","n/d","0"
"2087","2087.txt","non-phishing","mistral-small:24b","n/d","0"
"2088","2088.txt","phishing","mistral-small:24b","n/d","0"
"2089","2089.txt","phishing","mistral-small:24b","n/d","0"
"2090","2090.txt","phishing","mistral-small:24b","n/d","0"
"2091","2091.txt","phishing","mistral-small:24b","n/d","0"
"2092","2092.txt","phishing","mistral-small:24b","n/d","0"
"2093","2093.txt","phishing","mistral-small:24b","n/d","0"
"2094","2094.txt","non-phishing","mistral-small:24b","n/d","0"
"2095","2095.txt","phishing","mistral-small:24b","n/d","0"
"2096","2096.txt","phishing","mistral-small:24b","n/d","0"
"2097","2097.txt","non-phishing","mistral-small:24b","n/d","0"
"2098","2098.txt","non-phishing","mistral-small:24b","n/d","0"
"2099","2099.txt","non-phishing","mistral-small:24b","n/d","0"
"2100","2100.txt","phishing","mistral-small:24b","n/d","0"
